,Datetime,Tweet Id,Text,Username,Location,Language,Source,Keyword
54,2021-06-02 17:51:28+00:00,1.40E+18,@HardeepSPuri @narendramodi @PMAYUrban @MoHUA_India @Secretary_MoHUA @PIB_India @MIB_India Sir we have been fighting for our homes for more than 10 years now. Have paid 90% payments to fraud @logixzest but the project is nowhere near completion. For #sabkavikas and to earn #sabkavishwas would require some action against the corrupt builder.,sudel18,,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Fraud
55,2021-06-02 01:35:12+00:00,1.40E+18,"@EcomExpress_Ofc 27000 pincode all over India but still can't do my kyc which is near national highway 

Fraud agents @EcomExpress_Ofc",Gudu60758400,,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Fraud
56,2021-06-01 15:11:25+00:00,1.40E+18,"@Cybercellindia A 50 crore  fraud took place today within a month.
Near about 50crore of fraud.
Acebest company took a great money from people of india 
Avail whatsapp number...
Plz  track them...every where in india ,people put up the money here..
@PMOIndia  
@cbic_india https://t.co/gPOq76Gmoa",SachinNetworker,,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Fraud
57,2021-05-26 18:49:18+00:00,1.40E+18,"@PMOIndia @narendramodi @SEBI_India Respected Sir/Madam,More than 3500 death today also, Near abt 1lac death in may and we are moving toward 52week high .What Kind of manipulation, patriotism toward country.RBI report bank fraud also.everyday is same story manipulation",VJYadav09,,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Fraud
58,2021-05-19 00:00:56+00:00,1.39E+18,#Scams are on the increase in #Singapore and no doubt many other near nations. Police have put together this infographic to assist people understand how it all works. #fraud #corruption #covid19 #india #airindia #delhi #malaysia #vaccines #travel #crime #police #criminals #banks https://t.co/H09YyZkD36,asia_mobility,Asia,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Fraud
59,2021-05-18 06:31:48+00:00,1.39E+18,"@Cloviafashions @Nehakant @PANKAJVARMANI @Nehakant @PANKAJVARMANI almost near 72 hours still investigation going on greatest company in India who work hard for 1 complain since last 72 hours but no resolution, bunch of #fraud people #clovia biggest #scam in India @PMOIndia @ANI @IncomeTaxIndia @ZeeNews @mumbaimirror",mihirnetworker,"Mumbai, India",en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Fraud
60,2021-05-13 22:42:34+00:00,1.39E+18,@pravinyadav @jameelsjam @tsrawatbjp What else you expect because there is competition with fraud baba. We shouldn't be complaining of current situation in India. We rightly deserve it. Just pray our near and dear are not get into the situation.,ahmar_99,Canada,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Fraud
61,2021-05-02 12:20:33+00:00,1.39E+18,"He is running a Fraud oxygen company basically. He claims his shop’s at 1/277A GT Road, Near Bank of India, Shahdara. 

His contact no.'s - 7047260324 , 917602259410 https://t.co/x5J5cWbAwA",Dikshkyaoon,प्रकृति की गोद में,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Fraud
62,2021-04-29 15:44:13+00:00,1.39E+18,"WOW what a visionary leader

Near future BIGGEST FRAUD of the India will be PM CARE FUND SCAM by MODI+BJP

Modi is a  disaster

#ModiMadeDisaster  😡
#ModiMustResign 😡
#ModiAgainstDelhi 😡
#ResignModi 😡
#ModiGovtSeNaHoPayega 😡
We need A EDUCATED Prime Minister  not Chaiwala😡 https://t.co/sk9Xuvfus0",Krishna44944468,,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Fraud
63,2021-04-26 13:23:15+00:00,1.39E+18,"That's what I am say we don't need #Modi all Modi's are fraud like lalit, Nirav and one big surprise India will be getting in near future soon. The boss of all Modi's https://t.co/pE2OcF85mF",endlessindia,Mumbai,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Fraud
64,2021-04-26 07:51:15+00:00,1.39E+18,"This advertisement is malicious, almost near to fraud that serves the triple purpose of changing perception, blowing taxpayers money, falsely showing concern. You deserve the govt that u elect.
@malhotravineet7 
@PMOIndia 
@AmitShah 
@gauravcsawant 
@isro 
@DRDO_India 
@AmitShah https://t.co/6XJBTEZCwv",K_Siddhartha_,"Noida, India",en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Fraud
65,2021-04-24 03:27:34+00:00,1.39E+18,@tapasr10 @Rajshreepuja Residency doesn't matter. A person from India can commit fraud or some greiviance mistake by claiming he is from abroad. Again for sex chat one doesn't need to be near.,SanjitaPanigra2,Bhubaneswar,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Fraud
66,2021-04-17 05:37:45+00:00,1.38E+18,"@AOLSwamiji @Actor_Vivek @SriSri @rajinikanth @ikamalhaasan @BangaloreAshram @TOIChennai @khushsundar @THChennai @igtamil @arrahman @IndiaToday @PTTVEnglish @CMOTamilNadu when you believe in a fraud god man the end is near , waiting for Kamdev Shankar to bite the dust soon, to save India",Harkabab1,,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Fraud
67,2021-04-10 13:19:07+00:00,1.38E+18,A fraud that cost India as a whole and may never recover in near future. https://t.co/JLCMnBBK1a,relax_bhai,Sab Bta Dun? Aadhaar Hi Lelo!,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Fraud
68,2021-04-05 03:32:44+00:00,1.38E+18,"No other country like India: Silence on
# EvM fraud / Election rigging.
# Wallets data breach of govt ID's.
# Breaching covid protocols.
# Deaths of soldiers near elections.
# Scania and Rafale scams.
# Deaths of agitating farmers.
# Human right violations.
#HumanRights
#Election",thecracknw,,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Fraud
69,2021-04-01 16:03:55+00:00,1.38E+18,"@nitin_gadkari sir,
Just saw a video about toll fraud at khed shivaput toll Naka (near Pune ).. I urge u to plz take appropriate action,  as toll is continue to haunt common people..
To remind you, loot at express is still on, and government has allowed it for unknown reason..",Vaibhavb_India,"Pune, India",en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Fraud
70,2021-03-29 06:35:13+00:00,1.38E+18,"@JNoord1 @Zeina92620599 @Joyce_Karam The Fact is that whole Europe is built by wealth looted from it's colonies especially India. 
Science and Technology is all copied from Hindu scriptures called Vedas. Read Einstein to confirm. 
The fraud called White supremacy would not live long...the decline is near. Enjoy",woknessoverload,,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Fraud
71,2021-03-29 06:34:17+00:00,1.38E+18,"@JNoord1 @Zeina92620599 @Joyce_Karam The Fact is that whole Europe is built by wealth looted from it's colonies especially India. 
Science and Technology is all copied from Hindu scriptures called Vedas. Read Einstein to confirm. 
The fraud called White supremacy would not live long...the decline is near. Enjoy",woknessoverload,,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Fraud
72,2021-03-24 04:18:59+00:00,1.37E+18,"@nepaltourismb On 9 jan 2021 i was visit nepal kathmandu by airindia from india with my friends. Near Themal one boy ask us for cheap rate hotel and we all go with him.but he was fraud.when we reached at hotel,they are forced us for drug and girls.",Varii_sandhu,"Sirhind Fatehgarh Sahib, India",en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Fraud
